lambda_nm,ag_n,ag_k,ag_eps_real,ag_eps_imag,neff_infinite_real,neff_infinite_imag,ratio_infinite,neff_w800_real,neff_w800_imag,ratio_w800
450,0.151,2.47,-6.078099,0.74594,2.41434103,0.204267122,0.0846057453,2.39898973,0.205278903,0.0855688961
475,0.133,2.702,-7.283115,0.718732,2.22222778,0.133221794,0.0599496571,2.20410022,0.133944916,0.0607707918
500,0.13,2.917,-8.491989,0.75842,2.08934003,0.101337877,0.0485023385,2.06858879,0.101873434,0.0492477938
525,0.129,3.137,-9.824128,0.809346,1.98278662,0.0790927916,0.0398897142,1.95950729,0.0794292334,0.0405353089
550,0.124,3.338,-11.126868,0.827824,1.90879924,0.0622460944,0.0326100791,1.88318726,0.0623954874,0.033132917
575,0.12,3.539,-12.510121,0.84936,1.84821854,0.0498194792,0.026955405,1.82041832,0.0497917069,0.027351794
600,0.124,3.731,-13.904985,0.925288,1.80086563,0.0434078819,0.0241038982,1.77102486,0.0432107061,0.024398701
625,0.132,3.922,-15.36466,1.035408,1.7611329,0.0392789637,0.0223032365,1.72941062,0.038894306,0.0224899197
650,0.139,4.128,-17.021063,1.147584,1.72371535,0.0347831442,0.0201791695,1.69035403,0.034190244,0.0202266763
675,0.14,4.329,-18.720641,1.21212,1.69355706,0.0298453914,0.0176229028,1.65875518,0.029078021,0.0175300257
700,0.142,4.522,-20.42832,1.284248,1.66930315,0.0261701951,0.0156773172,1.63321641,0.0252388481,0.0154534622
725,0.147,4.708,-22.143655,1.384152,1.64938029,0.0237117086,0.0143761319,1.61214571,0.0226065539,0.0140226493
750,0.145,4.898,-23.969379,1.42042,1.63153201,0.0204880311,0.0125575416,1.59336098,0.0192723921,0.0120954337
775,0.143,5.09,-25.887651,1.45574,1.61563432,0.0177430091,0.01098207,1.57672206,0.0164353237,0.0104237291
800,0.143,5.289,-27.953072,1.512654,1.60087094,0.015542552,0.00970881015,1.56145898,0.014141931,0.00905687004
